Subject,Condition,Optode,MeanAcrossBlocksHbO,MedianAcrossBlocksHbO,AUCHbO,MaximumHbO,RobustPeakHbO95
5,2,13,-0.00425331400610196,0.0193998244090968,-0.251584663254403,0.0722598867944573,0.0652805328935977
5,2,14,-0.0333850595641594,-0.00340047835188303,-1.96947990650674,0.0548419702729611,0.0462971837308442
5,2,15,-0.0181590289886129,0.019473607522177,-1.07178977579973,0.0592714023184628,0.0397788334733116
5,2,16,-0.0211874049711039,0.032838040033477,-1.24981210012689,0.0735378490695615,0.0527667774845578
5,3,1,-0.0147152899110006,-0.021152534204264,-0.867928134928807,0.130645986069035,0.120517363583235
5,3,2,0.0291976252258181,0.0421043483280958,1.72194681255658,0.127557541215641,0.121114606189746
5,3,3,-0.0096342857804286,0.000540611121912633,-0.566599263747474,0.11457733599085,0.107573099859187
5,3,4,0.0224896276591712,0.0286406998193703,1.32768768400097,0.152438772626769,0.147465408285844
5,3,5,0.00331879702293008,0.000970260346428624,0.19710953724462,0.0670576250192329,0.05608859461003
5,3,6,0.00838209375386844,-0.00284974588814264,0.495617213049349,0.120975266238752,0.113270674090033
5,3,7,-0.0282768161837641,-0.00540313820872756,-1.66651801318406,0.0643058148130903,0.0520018511294884
5,3,8,0.00190288374409447,-0.0051941885140594,0.112699398418641,0.128058105921357,0.11582096103737
5,3,9,-0.036931582760685,-0.0127063130544393,-2.176436150809,0.0410137729799213,0.0366725242497953
5,3,10,-0.0122990773623617,-0.0314139352416614,-0.725269681654953,0.10041665331632,0.0724014232792918
5,3,11,-0.0201541570541564,-0.0228324982629141,-1.18784257740779,0.0407555980925306,0.0341697706293685
5,3,12,-0.0132424002745401,-0.0405124400949359,-0.78044305164103,0.0836655035254314,0.0627020626530782
5,3,13,-0.0859808871292082,-0.0429174364211476,-5.07138728129086,0.0620007820920096,0.0503527264145752
5,3,14,-0.0726143968349147,-0.0594033781254644,-4.2830660312098,0.087772822583168,0.076248827586524
5,3,15,-0.0572626299581188,-0.0407162071124146,-3.37682200332806,0.0505660797066824,0.0376872654891431
5,3,16,-0.025094262825151,-0.0267705743040582,-1.47995450665726,0.0883362714883164,0.0767625216567768
6,1,1,-0.0128714499552995,-0.0155765928991082,-0.751083348873648,0.0901879451990366,0.0816707257411399
6,1,2,0.00798047491208153,0.00799142090178464,0.477000364699615,0.0972763640978913,0.0873778404261471
6,1,3,-0.0134969376185212,-0.0192603002874566,-0.788549594130653,0.0799514693265994,0.0703988241038649
6,1,4,0.0139168464532284,0.0186420751965874,0.830161182165534,0.127696335333779,0.114217851415935
6,1,5,-0.0385966636649988,-0.0398877432427035,-2.27481964150034,0.0335741063584863,0.0223406002946466
6,1,6,-0.0175149567912822,-0.0207697334710497,-1.03004171265905,0.0662237252461493,0.0546686429374853
6,1,7,-0.0172982373703033,-0.0146088332614902,-1.02067526746724,0.0545632838507929,0.0446944862480149
6,1,8,-0.009539946817935,-0.00555104872202858,-0.561891885288236,0.0531716910167991,0.0434490533423452
6,1,9,-0.0562517659667615,-0.0360097339211338,-3.31506550284389,0.020772742244354,0.0137604948513103
6,1,10,-0.021431613289834,-0.0314570522388539,-1.26253117193568,0.0497323725772437,0.038385421645717
6,1,11,-0.0106323128646545,0.0136737318842847,-0.625022333127773,0.0514253725645354,0.0439120628389328
6,1,12,0.00157598626813754,0.00644767506387071,0.0957012953127632,0.077741836439802,0.0682609579554328
6,1,13,-0.0010462557909459,0.00891226693113292,-0.0596278536038706,0.0512568376952597,0.0444646660991197
6,1,14,0.017540905539385,0.024328195368338,1.03906227866823,0.106323221658307,0.0960137780290677
6,1,15,0.0252337594468257,0.0186844411604157,1.49115500895638,0.0987425329380697,0.0889143656651748
6,1,16,0.0021008040404733,0.00470735738900017,0.127467498619932,0.0653974762197044,0.0565176113301939
6,2,1,-0.105216986376144,-0.112891741195565,-6.20566409828104,0.0930632623526445,0.0620170773948118
6,2,2,-0.0183320004180157,-0.00757551870506705,-1.08087945807145,0.0676741235095177,0.0564035525343888
6,2,3,-0.0688220515941291,-0.0503034224375123,-4.06067903512535,0.0827140660402712,0.0636476525205955
6,2,4,-0.0531386654884338,-0.0530997887324138,-3.13322164693949,0.042192207834817,0.0314380628275942
6,2,5,-0.0741783734737271,-0.0572307239984462,-4.37356571349136,0.0895068164758016,0.0687722759094428
6,2,6,-0.060823510313163,-0.0558612677213923,-3.58428473225502,0.0543658229371891,0.0348147813062795
6,2,7,-0.0705071848423413,-0.0585880458613443,-4.15648868650081,0.0995935738539969,0.0833135069147813
6,2,8,-0.0591412988572518,-0.0542285871625827,-3.48752513660119,0.0539815039927834,0.0415385942495267
6,2,9,-0.126034323708212,-0.113567593628341,-7.43206164715735,0.122519437916819,0.0888124676711926
6,2,10,-0.0870251129241389,-0.0741916142859027,-5.1303263876719,0.0704387889084147,0.0428212451971056
6,2,11,-0.0922012095823462,-0.0882288688813167,-5.43638206068098,0.0759088040235863,0.0469752416566895
