Subject,Block,Condition,Optode,NonFiniteSampleCount,NonPositiveSampleCount,BaselineCV730,BaselineCV850,AmbientToSignalRatio,AmbientCorrelation730,AmbientCorrelation850,MotionCandidateFraction,MathematicallyValidChannel
3,6,1,7,0,0,0.00400577757220361,0.00506129681656022,0.102587447254234,NaN,NaN,0,1
3,6,1,8,0,0,0.00412793769492678,0.00429146343937629,0.089002977363192,0.828637212710908,0.747048591435761,0,1
3,6,1,9,0,0,0.00287302035586149,0.000430578063569302,0.0773918701127912,0.112637500095614,0.24138201370367,0,1
3,6,1,10,0,0,0.00215164200557874,0.000469452891157346,0.0707590277257072,0.439651665206966,0.0600087629993343,0,1
3,6,1,11,0,0,0.000851811416595373,0.00130490226908136,0.0680601148580412,-0.123082977839933,0.0583661160096471,0,1
3,6,1,12,0,0,0.000349488979281081,0.00295002890608128,0.0799229257471123,0.0216387566279599,-0.567066967262295,0,1
3,6,1,13,0,0,0.000650898153806467,0.000479368250426085,0.0801677400107903,-0.39598212969928,0.0285766933854225,0,1
3,6,1,14,0,0,0.000921162351269106,0.000706418128567101,0.058069340316645,-0.581227827659313,-0.0168262787702242,0,1
3,6,1,15,0,0,0.00206488087989203,0.00332433944220982,0.212805468898073,NaN,NaN,0,1
3,6,1,16,0,0,0.00112192719909115,0.000431408916723274,0.0407237842644881,-0.463602155843094,0.352277629537613,0,1
3,7,2,1,0,0,0.00139725638617294,0.00277817037748229,0.240336318738219,-0.358032143175737,-0.194884931517845,0,1
3,7,2,2,0,0,0.00473871922832254,0.00533983679870828,0.0842866795514016,0.534853066754535,0.691330865276106,0,1
3,7,2,3,0,0,0.00150063900541565,0.00171013835565973,0.0843992820046718,-0.00129930125014874,0.300261219473995,0,1
3,7,2,4,0,0,0.00192148923495747,0.00225478700062319,0.0668373143389191,-0.574569942857722,0.0802911243859886,0,1
3,7,2,5,0,0,0.000833195927760916,0.000644522018404289,0.0469621779763287,-0.126593807780157,-0.000729016368170363,0,1
3,7,2,6,0,0,0.000541196062150191,0.000746728472537324,0.0720623853740531,0.717559783302388,0.647726337368508,0,1
3,7,2,7,0,0,0.000803926647125218,0.0010252046057267,0.0976762316682646,NaN,NaN,0,1
3,7,2,8,0,0,0.00249778523612691,0.00273352952486256,0.0858048966601095,0.717699296003274,0.680465057645419,0,1
3,7,2,9,0,0,0.000482070126371946,0.0011351327006338,0.0803508571905618,-0.456550106268609,-0.392698488899588,0,1
3,7,2,10,0,0,0.00101382897185044,0.0017637539848426,0.0728936701549022,0.789943061360912,0.847805817486058,0,1
3,7,2,11,0,0,0.000520447523814094,0.00144510014583648,0.0711586037685073,0.141101192496414,-0.0572400800050033,0,1
3,7,2,12,0,0,0.0020984440360051,0.00306125963952626,0.0940447582231346,-0.474276495513203,-0.296577140009993,0,1
3,7,2,13,0,0,0.000665103418998346,0.00273753718135316,0.0806684279870509,0.316720277345643,0.23036541164778,0,1
3,7,2,14,0,0,0.00173473915473175,0.00453122038553724,0.0635094615092211,-0.837340353512816,-0.759049782344163,0.0155038759689922,1
3,7,2,15,0,0,0.0022459230189042,0.00738297757693254,0.220669700199135,NaN,NaN,0,1
3,7,2,16,0,0,0.00357990500727248,0.000985083225094572,0.0399716559815566,0.584160863448113,0.310159290009455,0,1
3,8,2,1,0,0,0.00326127198751419,0.00697636191160358,0.244906240084242,0.208293590280141,0.265276135373013,0,1
3,8,2,2,0,0,0.0115723099391208,0.015736789005295,0.0853409322392805,0.413147082886813,0.74797485293393,0.0310077519379845,1
3,8,2,3,0,0,0.00173519034375132,0.0047792394069541,0.0849939410032154,0.0157106127711593,-0.361960053365125,0,1
3,8,2,4,0,0,0.00360896979822226,0.00666522160085293,0.0656669410399386,-0.157312347077804,0.290357760349628,0,1
3,8,2,5,0,0,0.00529574811265908,0.00952285618795383,0.0477017861095755,-0.158843538308414,-0.307840240019262,0,1
3,8,2,6,0,0,0.00223602900701035,0.00636420374675511,0.0722764715382129,0.684110488768374,0.750594051779813,0,1
3,8,2,7,0,0,0.00499627822918375,0.00923496850009526,0.1003167386157,NaN,NaN,0,1
3,8,2,8,0,0,0.0044883929660113,0.00886981601054842,0.0851186652001333,0.588460683810975,0.616148760319183,0,1
3,8,2,9,0,0,0.000763238960821836,0.00089171531752831,0.0779502725302837,-0.228752490521717,-0.34731910973322,0,1
3,8,2,10,0,0,0.0029956711030993,0.00635829461267036,0.0705379254458935,0.776146167090889,0.649789046916648,0,1
3,8,2,11,0,0,0.00180188740563411,0.00354989948204511,0.0697938799068138,0.152098539010858,0.0276490281011249,0,1
3,8,2,12,0,0,0.00137190357455012,0.00407478572925816,0.0870020149635535,-0.97199265276504,-0.793285523876341,0,1
3,8,2,13,0,0,0.000860479665717299,0.00284207406464773,0.0810884170994775,-0.18493671981679,-0.215741240706258,0,1
3,8,2,14,0,0,0.0039526227749572,0.00714748385184434,0.0598476460959472,-0.911104730322554,-0.826488850023904,0.0697674418604651,1
3,8,2,15,0,0,0.000568480810626564,0.00137039571643659,0.219671291858661,-0.401876578910613,-0.461785612242119,0,1
3,8,2,16,0,0,0.00156506009380765,0.000470043488413933,0.0404251335508869,-0.287850881074931,0.03215664334655,0,1
